RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
73339,35133,AL,Birmingham,Saint Clair,Springville,11427,144739,0.005865388,0.022680864,0.051026781,0.022128934,0.002108693,2018-03,2018-Q1,144739,0,2018-03
59271,03884,NH,Boston,Strafford,Strafford,11428,278074,0.004392143,0.01582512,0.068020156,0.050088942,0.02194131,2018-03,2018-Q1,278074,0,2018-03
77243,44627,OH,Wooster,Wayne,Fredericksburg,11429,195988,0.03108165,0.041232129,0.000382823,0.101350212,0.063047998,2018-03,2018-Q1,195988,0,2018-03
70269,29039,SC,Orangeburg,Orangeburg,Cordova,11430,63921,-0.012757348,-0.054618866,-0.119448424,0.012585947,-0.007682835,2017-07,2017-Q3,73791,-0.133756149,2015-11
89278,71964,AR,Hot Springs,Garland,Pearcy,11431,133838,-0.009363227,-0.034392699,-0.069613214,0.00970563,0.007966874,2017-02,2017-Q1,144790,-0.075640583,2016-07
78238,46742,IN,Angola,Steuben,Hamilton,11432,158815,0.004331879,0.014247944,0.084194645,0.050572545,0.014204381,2018-03,2018-Q1,158815,0,2018-03
81586,54151,WI,Marinette,Marinette,Niagara,11433,80993,-0.014071991,-0.03911496,0.031219363,0.024645301,0.000877132,2004-07,2004-Q3,87984,-0.079457629,2003-06
59199,03782,NH,Claremont,Sullivan,Sunapee,11434,330389,-0.002310103,-0.00365199,0.047480605,0.041322225,0.001445185,2006-03,2006-Q1,336255,-0.017445094,2005-10
66956,21658,MD,Baltimore,Queen Annes,Queenstown,11435,425998,0.003120048,0.014851202,0.021683291,0.022046507,-0.009630884,2007-02,2007-Q1,502059,-0.151498131,2004-11
79710,49344,MI,Holland,Allegan,Shelbyville,11436,169093,0.004980535,-0.006083655,0.060064447,0.072096105,0.026454709,2017-11,2017-Q4,170205,-0.006533298,2017-11
81165,53038,WI,Watertown,Jefferson,Johnson Creek,11437,219343,0.013880928,0.029402378,0.056306013,0.049306082,0.010545536,2018-03,2018-Q1,219343,0,2018-03
63128,13456,NY,Utica,Oneida,Paris,11438,152879,-0.004091019,0.0020253,-0.011879755,0.033897158,0.014173737,2017-04,2017-Q2,156023,-0.020150875,2017-02
84949,61410,IL,Galesburg,Knox,Abingdon,11439,50862,0.001200764,-0.005591616,-0.002490733,-0.009528385,-5.11043E-05,2004-02,2004-Q1,56805,-0.104621072,2001-02
95588,88230,NM,Roswell,Chaves,Dexter,11440,73759,0.000176281,-0.001178127,0.015838257,0.033298835,0.000830801,2017-08,2017-Q3,73935,-0.002380469,2017-06
85042,61542,IL,Canton,Fulton,Lewistown,11441,65191,0.002460365,0.018529802,0.074340804,0.02140678,0.009405617,2018-03,2018-Q1,65191,0,2018-03
86120,63624,MO,Farmington,Saint Francois,Iron Mountain Lake,11442,59767,-0.00419867,1.67319E-05,0.072303856,0.034458734,-0.008606565,2005-03,2005-Q1,79200,-0.245366162,2000-06
88791,70770,LA,Baton Rouge,East Baton Rouge,Pride,11443,171981,0.007427671,0.021732027,0.099496222,0.03739873,0.017665765,2018-03,2018-Q1,171981,0,2018-03
63062,13329,NY,Utica,Herkimer,Dolgeville,11444,70732,0.004359247,0.016322777,0.062871912,0.032403915,0.016735617,2018-03,2018-Q1,70732,0,2018-03
80825,52068,IA,Dubuque,Dubuque,Peosta,11445,233385,-0.017669614,-0.04756755,-0.050956424,0.025438165,0.022381343,2017-05,2017-Q2,254342,-0.08239693,2017-01
88663,70543,LA,Lafayette,Acadia,Iota,11446,105429,-0.005414941,-0.018644352,-0.030484441,0.046804331,0.017380893,2017-09,2017-Q3,112496,-0.062820011,2016-09
